Running.Test.Number,Test.Number.in.Iteration,Cost.Centric.Buffer,Cost.Centric.PDI,Conductance.Centric.Buffer,Conductance.Centric.PDI,DEM.error,Stochasticticity.error.for.time,Conductance.Value.Great.House,Conductance.Value.Great.Kiva,Conductance.Value.Earthen.Mound,Conductance.Value.Herradura
75,25,0.714667199,43458666.07,10.37465368,37231824.03,1.199596847,0.035521441,0.003383396,0.002706717,0.002165374,0.001732299
76,1,3.134557306,58343288.1,16.70830605,25513875.65,0.125263389,0.049636493,0.004046693,0.003237354,0.002589883,0.002071907
77,2,3.13379437,58354106.09,13.87906664,18082559.76,0.125263389,0.058903002,0.001576408,0.001261126,0.001008901,0.000807121
78,3,3.13379437,58354106.09,13.87906664,18082559.76,0.125263389,0.075580474,0.001410378,0.001128303,0.000902642,0.000722114
79,4,3.131520194,52647004.87,12.06045369,26058446.93,0.125263389,0.080123713,0.004549156,0.003639324,0.00291146,0.002329168
80,5,3.131520194,52647004.87,11.4836981,15678384.91,0.125263389,0.04948947,0.001720861,0.001376689,0.001101351,0.000881081
81,6,3.131520194,52647004.87,11.14375751,15850865.22,0.125263389,0.07372125,0.003150664,0.002520531,0.002016425,0.00161314
82,7,3.131520194,52647004.87,11.4836981,15678384.91,0.125263389,0.04447514,0.001824142,0.001459314,0.001167451,0.000933961
83,8,3.131520194,52647004.87,11.14375748,15855069.64,0.125263389,0.018971115,0.002717845,0.002174276,0.00173942,0.001391536
84,9,3.131520194,52647004.87,11.48369771,15732024.09,0.125263389,0.069613619,0.002124309,0.001699447,0.001359558,0.001087646
85,10,3.131520194,52647004.87,12.06044948,26611669.17,0.125263389,0.006613652,0.004161355,0.003329084,0.002663267,0.002130614
86,11,3.131520194,52647004.87,11.48369822,15672951.27,0.125263389,0.028778813,0.00162348,0.001298784,0.001039027,0.000831222
87,12,3.131520194,52647004.87,15.15053509,24828076.47,0.125263389,0.084814405,0.004637595,0.003710076,0.002968061,0.002374449
88,13,3.131520194,52647004.87,11.98467302,26679627.16,0.125263389,0.056808007,0.003573212,0.002858569,0.002286855,0.001829484
89,14,3.131520194,52647004.87,5.358108487,480276.2409,0.125263389,0.021809216,0.001132134,0.000905707,0.000724566,0.000579653
90,15,3.131520194,52647004.87,12.06045369,26058446.93,0.125263389,0.062369046,0.004523304,0.003618643,0.002894915,0.002315932
91,16,3.131520194,52647004.87,11.13087467,15816380.52,0.125263389,0.00881066,0.002324364,0.001859491,0.001487593,0.001190074
92,17,3.131520194,52647004.87,11.13087458,15829274.96,0.125263389,0.076974015,0.002566859,0.002053488,0.00164279,0.001314232
93,18,3.131520194,52647004.87,11.13087458,15829274.96,0.125263389,0.053380127,0.002580913,0.00206473,0.001651784,0.001321427
94,19,3.254386427,81110294.35,11.1374814,15327494.96,0.125263389,0.059821919,0.003069155,0.002455324,0.001964259,0.001571407
95,20,3.254386427,81110294.35,11.12460611,15250368.08,0.125263389,0.072810443,0.002597553,0.002078043,0.001662434,0.001329947
96,21,3.254386427,81110294.35,11.97792118,26443249.83,0.125263389,0.081491072,0.003783955,0.003027164,0.002421731,0.001937385
97,22,3.254386427,81110294.35,11.97792125,26434725.45,0.125263389,0.062491118,0.003978768,0.003183014,0.002546411,0.002037129
98,23,3.254386427,81110294.35,11.97792125,26434209.88,0.125263389,0.046005513,0.003910236,0.003128188,0.002502551,0.002002041
99,24,3.253991004,81115574.75,15.43176665,26740969.02,0.125263389,0.035297118,0.003888463,0.00311077,0.002488616,0.001990893
100,25,3.253991004,81115574.75,17.52482904,25567909.06,0.125263389,0.062841413,0.004654445,0.003723556,0.002978845,0.002383076
101,1,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.068019664,0.002892596,0.002314077,0.001851261,0.001481009
102,2,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.010884136,0.004716433,0.003773146,0.003018517,0.002414813
103,3,0.894026264,26097484.02,8.246682868,36835912.93,0.961853478,0.036989194,0.004786189,0.003828951,0.003063161,0.002450529
104,4,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.045759498,0.003551225,0.00284098,0.002272784,0.001818227
105,5,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.062785984,0.004505852,0.003604682,0.002883745,0.002306996
106,6,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.020041371,0.003777709,0.003022167,0.002417734,0.001934187
107,7,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.067600288,0.00323011,0.002584088,0.00206727,0.001653816
108,8,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.022143312,0.003174258,0.002539406,0.002031525,0.00162522
109,9,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.091035652,0.003963619,0.003170895,0.002536716,0.002029373
110,10,0.894026264,26097484.02,8.248005787,37082037.99,0.961853478,0.00785159,0.001601102,0.001280882,0.001024705,0.000819764
111,11,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.027673812,0.00319272,0.002554176,0.00204334,0.001634672
112,12,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.077069494,0.002939102,0.002351281,0.001881025,0.00150482
113,13,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.054726279,0.003305901,0.002644721,0.002115777,0.001692622
114,14,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.030610507,0.002939601,0.002351681,0.001881345,0.001505076
115,15,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.070789447,0.003382882,0.002706306,0.002165045,0.001732036
116,16,0.894026264,26097484.02,8.248005786,37081779.72,0.961853478,0.067125228,0.001966921,0.001573537,0.00125883,0.001007064
117,17,0.894026264,26097484.02,6.60862117,39124853.25,0.961853478,0.061781001,0.001525006,0.001220005,0.000976004,0.000780803
118,18,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.058838476,0.003551016,0.002840812,0.00227265,0.00181812
119,19,0.894026264,26097484.02,8.248004611,36855256.08,0.961853478,0.055098743,0.003190768,0.002552614,0.002042091,0.001633673
